,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,dingle,10.9995,122.6711,26.2,84,60,4.16,PH,1614817164
275,carleton place,45.1334,-76.1494,-1.11,81,98,2.29,CA,1614817768
276,almaznyy,48.0448,40.045,-3.0,86,0,2.0,RU,1614817809
277,lompoc,34.6391,-120.4579,13.0,67,90,3.6,US,1614817444
278,ouadda,8.0777,22.4007,23.33,19,97,2.86,CF,1614817426
279,orikum,40.3253,19.4714,11.71,60,0,1.54,AL,1614817810
280,gigmoto,13.7796,124.39,26.21,78,51,5.13,PH,1614817388
281,iqaluit,63.7506,-68.5145,-21.0,77,90,10.8,CA,1614817810
282,coquimbo,-29.9533,-71.3436,17.0,88,75,3.6,CL,1614817350
283,qasigiannguit,68.8193,-51.1922,-2.0,74,27,4.63,GL,1614817810
284,storslett,69.7678,21.0247,-5.1,92,100,6.88,NO,1614817811
285,slave lake,55.2834,-114.769,0.0,64,40,4.12,CA,1614817811
286,kibre mengist,5.8833,38.9833,14.14,53,21,1.77,ET,1614817811
287,krasnoselkup,65.7,82.4667,-17.36,93,100,9.41,RU,1614817811
288,tuatapere,-46.1333,167.6833,16.11,56,48,3.58,NZ,1614817352
289,camacha,33.0833,-16.3333,14.0,77,20,1.54,PT,1614817812
290,byron bay,-28.65,153.6167,22.22,78,90,2.06,AU,1614817174
291,scunthorpe,53.579,-0.6544,5.0,93,90,1.54,GB,1614817812
292,coos bay,43.3665,-124.2179,10.56,71,1,3.6,US,1614817770
293,shimoda,34.6667,138.95,10.0,62,40,6.17,JP,1614817244
294,dalby,-27.1833,151.2667,21.0,73,75,6.69,AU,1614817813
295,margate,51.3813,1.3862,7.78,91,100,1.87,GB,1614817813
296,husavik,66.0449,-17.3389,-1.0,86,0,5.92,IS,1614817387
297,terra santa,-2.1042,-56.4869,23.75,94,100,0.66,BR,1614817813
298,miri,4.4148,114.0089,27.0,89,40,2.07,MY,1614817242
299,mazamari,-11.3258,-74.5308,23.14,72,100,0.85,PE,1614817814
300,bhigvan,18.3167,74.7667,19.75,18,0,1.27,IN,1614817814
301,ahipara,-35.1667,173.1667,21.88,79,83,4.12,NZ,1614817416
302,caimito,8.8123,-75.4107,26.24,69,51,6.19,CO,1614817814
303,mount gambier,-37.8333,140.7667,16.0,67,90,6.69,AU,1614817378
304,gat,31.61,34.7642,10.56,100,68,3.4,IL,1614817400
305,cherskiy,68.75,161.3,-22.4,90,100,5.07,RU,1614817356
306,jalu,29.0331,21.5482,9.82,58,0,3.58,LY,1614817815
307,solnechnyy,50.7214,136.6319,-9.97,88,100,2.21,RU,1614817451
308,college,64.8569,-147.8028,-16.11,78,90,1.18,US,1614817419
309,pryozerne,45.2698,36.3303,2.46,81,0,2.88,UA,1614817816
310,fairbanks,64.8378,-147.7164,-16.11,71,90,1.54,US,1614817343
311,salalah,17.0151,54.0924,22.0,78,0,1.54,OM,1614817450
312,brandenburg,52.4167,12.55,7.22,81,7,0.45,DE,1614817817
313,cayenne,4.9333,-52.3333,26.11,89,75,1.03,GF,1614817094
314,fagersta,60.0042,15.7932,-0.56,64,43,6.17,SE,1614817679
315,karacabey,40.2152,28.4038,3.0,87,0,2.06,TR,1614817817
316,forbesganj,26.3,87.25,15.49,32,0,1.0,IN,1614817817
317,la ronge,55.1001,-105.2842,-1.0,69,80,1.54,CA,1614817377
318,soyo,-6.1349,12.3689,26.29,87,100,2.41,AO,1614817818
319,khor,47.8861,134.9464,0.4,97,100,8.1,RU,1614817818
320,tumut,-35.3,148.2167,20.0,49,0,2.57,AU,1614817818
321,nerchinskiy zavod,51.3088,119.61,-15.03,90,2,3.26,RU,1614817818
322,jizan,17.3333,42.6667,25.0,83,0,1.13,SA,1614817819
323,salinas,36.6777,-121.6555,15.0,58,1,7.2,US,1614817819
324,ahar,38.4774,47.0699,-0.05,90,41,2.48,IR,1614817819
325,marystown,47.1666,-55.1483,-5.35,85,100,9.9,CA,1614817448
326,camacupa,-12.0167,17.4833,15.42,89,100,1.17,AO,1614817820
327,yeppoon,-23.1333,150.7333,27.0,74,75,5.14,AU,1614817820
328,coihaique,-45.5752,-72.0662,16.0,67,20,1.54,CL,1614817406
329,yabelo,4.8833,38.0833,17.86,34,96,9.37,ET,1614817820
330,okhotsk,59.3833,143.3,-26.3,80,1,6.63,RU,1614817393
331,yar-sale,66.8333,70.8333,-14.42,95,100,4.79,RU,1614817319
332,sabalgarh,26.25,77.4,17.03,27,0,0.17,IN,1614817821
333,dicabisagan,17.0818,122.4157,25.07,82,50,1.68,PH,1614817401
334,mwinilunga,-11.7358,24.4293,16.11,97,100,0.56,ZM,1614817822
335,azle,32.8951,-97.5459,18.89,36,1,6.17,US,1614817822
336,omboue,-1.5746,9.2618,26.99,86,100,3.86,GA,1614817423
337,juneau,58.3019,-134.4197,3.0,70,90,3.09,US,1614817640
338,lola,7.8,-8.5333,22.29,96,100,1.8,GN,1614817822
339,ferme-neuve,46.7001,-75.4493,-3.0,59,21,4.12,CA,1614817822
340,leningradskiy,69.3833,178.4167,-25.74,89,89,7.58,RU,1614817402
341,tawang,27.5833,91.8667,1.43,83,32,0.41,IN,1614817823
342,umba,66.6871,34.3429,-10.04,95,59,3.44,RU,1614817823
343,lindsay,36.203,-119.0882,18.33,22,1,2.57,US,1614817824
344,perth,-31.9333,115.8333,24.0,78,75,5.66,AU,1614817769
345,nhulunbuy,-12.2333,136.7667,29.0,79,75,4.63,AU,1614817824
346,vestmanna,62.1564,-7.1664,-1.0,74,23,3.09,FO,1614817824
347,lata,40.1629,-8.3327,14.44,89,69,1.05,PT,1614817407
348,nabire,-3.3667,135.4833,29.84,60,95,0.67,ID,1614817825
349,bangsund,64.3968,11.3949,2.22,82,99,7.15,NO,1614817825
350,price,39.5994,-110.8107,11.0,16,1,2.57,US,1614817456
351,jurado,7.1053,-77.7641,24.64,85,23,0.58,CO,1614817826
352,mogadishu,2.0371,45.3438,25.72,81,6,8.83,SO,1614817592
353,pemba,-12.974,40.5178,26.0,100,75,3.09,MZ,1614817826
354,hambantota,6.1241,81.1185,21.0,100,1,1.54,LK,1614817827
355,vigeland,58.0844,7.305,4.44,76,61,4.47,NO,1614817827
356,tomatlan,19.9333,-105.25,22.81,66,0,1.68,MX,1614817827
357,bambanglipuro,-7.95,110.2833,26.35,81,100,1.26,ID,1614817828
358,faya,18.3851,42.4509,14.0,82,0,2.06,SA,1614817420
359,kalisz,51.7611,18.091,5.56,78,100,0.89,PL,1614817828
360,boa vista,2.8197,-60.6733,26.0,73,40,5.66,BR,1614817828
361,laval,45.57,-73.692,-1.0,55,79,0.51,CA,1614817730
362,axim,4.8699,-2.2405,26.63,91,82,3.25,GH,1614817583
363,richards bay,-28.783,32.0377,20.29,86,0,1.8,ZA,1614817425
364,banda aceh,5.5577,95.3222,25.51,85,9,5.83,ID,1614817433
365,saint-pierre,-21.3393,55.4781,25.0,78,0,2.06,RE,1614817238
366,arvika,59.6553,12.5852,2.0,51,40,5.66,SE,1614817829
367,kearney,40.6995,-99.0815,16.0,36,1,2.57,US,1614817765
368,zyryanovsk,49.7386,84.2719,-17.47,90,73,0.78,KZ,1614817830
369,catamarca,-28.4696,-65.7852,23.33,93,2,0.89,AR,1614817830
370,waitati,-45.75,170.5667,13.33,72,99,9.39,NZ,1614817830
371,verkhnevilyuysk,63.4453,120.3167,-30.55,84,100,4.15,RU,1614817831
372,umm lajj,25.0213,37.2685,19.35,57,0,3.73,SA,1614817831
373,antalaha,-14.9003,50.2788,24.21,87,4,1.75,MG,1614817831
374,rawson,-43.3002,-65.1023,16.51,91,94,4.66,AR,1614817137
375,balkhash,46.844,74.9804,-11.56,92,0,4.62,KZ,1614817831
376,vyazemskiy,47.5378,134.7525,0.71,95,77,7.58,RU,1614817831
377,san cristobal,7.7669,-72.225,25.0,73,40,2.06,VE,1614817175
378,outjo,-20.1167,16.15,17.77,56,0,1.82,NA,1614817832
379,zatoka,46.0725,30.4654,0.0,100,0,3.0,UA,1614817832
380,dromolaxia,34.8761,33.586,11.0,87,40,3.6,CY,1614817832
381,plettenberg bay,-34.0527,23.3716,17.56,89,0,1.37,ZA,1614817833
382,bathsheba,13.2167,-59.5167,26.0,69,40,7.72,BB,1614817361
383,yele,10.7323,13.5891,19.13,20,1,2.56,CM,1614817833
384,kidal,18.4411,1.4078,24.78,17,39,4.57,ML,1614817400
385,trairi,-3.2778,-39.2689,26.34,80,77,3.74,BR,1614817834
386,paez,5.1011,-73.0512,18.73,55,25,1.53,CO,1614817834
387,chenghai,23.4632,116.768,17.0,72,75,2.0,CN,1614817834
388,coruripe,-10.1256,-36.1756,25.31,79,8,3.72,BR,1614817834
389,varnamo,57.186,14.04,1.11,93,100,2.24,SE,1614817835
390,port augusta,-32.5,137.7667,23.33,56,0,6.17,AU,1614817835
391,dhidhdhoo,6.8833,73.1,28.08,65,30,4.74,MV,1614817835
392,luanda,-8.8368,13.2343,27.0,83,75,3.09,AO,1614817625
393,kaseda,31.4167,130.3167,9.0,81,75,1.03,JP,1614817835
394,mundo nuevo,18.7,-95.5,22.13,84,69,5.51,MX,1614817836
395,hanzhong,33.0728,107.0303,10.46,65,0,0.19,CN,1614817836
396,sao filipe,14.8961,-24.4956,21.63,78,33,4.18,CV,1614817437
397,zhuanghe,39.7008,122.9911,4.99,77,0,5.12,CN,1614817836
398,koygorodok,60.445,50.9968,-12.12,96,100,1.88,RU,1614817836
399,budakalasz,47.6167,19.05,6.67,70,0,0.51,HU,1614817837
400,andenes,69.3143,16.1194,-2.0,80,75,10.41,NO,1614817837
401,durusu,41.3053,28.6767,5.0,86,20,1.54,TR,1614817837
402,peraiyur,9.7358,77.7896,20.17,76,0,0.82,IN,1614817837
403,voghera,44.9947,9.0086,6.67,80,93,1.27,IT,1614817838
404,benguela,-12.5763,13.4055,24.23,77,100,1.97,AO,1614817838
405,pathein,16.7833,94.7333,23.61,70,0,1.77,MM,1614817838
406,bulawayo,-20.15,28.5833,14.58,80,16,1.59,ZW,1614817838
407,asau,46.4333,26.4,5.0,93,0,3.09,RO,1614817838
408,rio cuarto,-33.1307,-64.3499,22.0,83,40,2.57,AR,1614817782
409,tiberias,32.7922,35.5312,8.89,93,96,0.45,IL,1614817839
410,dutlwe,-23.9833,23.9,20.56,55,6,1.6,BW,1614817839
411,salina,38.8403,-97.6114,18.33,16,1,3.09,US,1614817839
412,talnakh,69.4865,88.3972,-31.12,72,16,4.47,RU,1614817139
413,bilma,18.6853,12.9164,20.11,21,0,3.96,NE,1614817417
414,olimpia,-20.7372,-48.9147,23.0,73,20,2.57,BR,1614817840
415,langsa,4.4683,97.9683,25.8,78,87,0.83,ID,1614817840
416,wanning,18.8003,110.3967,22.59,90,70,1.72,CN,1614817428
417,saldanha,-33.0117,17.9442,18.0,88,14,3.09,ZA,1614817149
418,cartagena del chaira,1.3349,-74.8429,24.45,72,3,1.15,CO,1614817841
419,lashio,22.9333,97.75,15.86,41,0,0.48,MM,1614817841
420,moosomin,50.1333,-101.6677,-0.66,99,100,2.89,CA,1614817842
421,broken hill,-31.95,141.4333,20.0,30,0,4.12,AU,1614817251
422,huarmey,-10.0681,-78.1522,23.97,71,25,3.62,PE,1614817450
423,chateauroux,46.8167,1.7,9.0,76,0,2.06,FR,1614817842
424,muros,42.7762,-9.0603,11.11,88,100,2.96,ES,1614817843
425,rapar,23.5667,70.6333,20.28,72,0,3.47,IN,1614817843
426,abhar,36.1468,49.218,3.18,74,0,3.5,IR,1614817843
427,salinopolis,-0.6136,-47.3561,25.4,87,100,4.39,BR,1614817843
428,rio grande,-32.035,-52.0986,23.89,92,100,5.13,BR,1614817844
429,murgab,37.4966,61.9714,9.0,53,40,3.09,TM,1614817844
430,auki,-8.7676,160.7034,25.69,90,100,2.57,SB,1614817844
431,ulvik,60.5672,6.9187,0.0,73,91,2.55,NO,1614817845
432,comodoro rivadavia,-45.8667,-67.5,16.0,94,40,3.09,AR,1614817411
433,kandrian,-6.2167,149.55,30.41,65,92,8.59,PG,1614817845
434,diego de almagro,-26.3667,-70.05,15.39,67,0,0.21,CL,1614817846
435,mitsamiouli,-11.3847,43.2844,27.74,77,100,6.04,KM,1614817846
436,mikkeli,61.6886,27.2723,-5.0,93,0,3.09,FI,1614817846
437,abha,18.2164,42.5053,14.0,82,0,1.77,SA,1614817846
438,tautira,-17.7333,-149.15,31.0,66,40,4.12,PF,1614817847
439,janow lubelski,50.707,22.4104,7.22,79,0,1.79,PL,1614817847
440,praia,14.9215,-23.5087,21.0,78,0,7.2,CV,1614817847
441,ranong,9.9658,98.6348,27.0,78,40,1.54,TH,1614817425
442,guerrero negro,27.9769,-114.0611,18.96,49,21,6.19,MX,1614817180
443,taoudenni,22.6783,-3.9836,21.64,20,100,3.12,ML,1614817416
444,orange cove,36.6244,-119.3137,18.33,32,1,2.06,US,1614817848
445,westport,41.1415,-73.3579,7.0,45,1,3.09,US,1614817848
446,half moon bay,37.4636,-122.4286,14.44,82,90,4.12,US,1614817433
447,acapulco,16.8634,-99.8901,28.0,74,40,2.57,MX,1614817310
448,dalnerechensk,45.9339,133.7225,1.09,91,100,6.57,RU,1614817849
449,sinnamary,5.3833,-52.95,25.28,86,97,5.12,GF,1614817379
450,quelimane,-17.8786,36.8883,25.0,94,75,3.09,MZ,1614817359
451,shasta lake,40.6804,-122.3708,23.0,14,1,3.6,US,1614817849
452,constitucion,-35.3333,-72.4167,17.07,68,4,5.99,CL,1614817412
453,kutum,14.2,24.6667,13.4,18,85,4.11,SD,1614817850
454,kantemirovka,49.7089,39.8592,-1.2,96,48,6.15,RU,1614817850
455,touros,-5.1989,-35.4608,26.0,83,20,2.57,BR,1614817359
456,dergachi,51.2328,48.7659,-11.11,93,0,4.3,RU,1614817850
457,aketi,2.7388,23.7833,21.08,43,97,0.17,CD,1614817851
458,wattegama,6.7989,81.4808,21.0,100,1,1.54,LK,1614817851
459,les cayes,18.2,-73.75,23.04,80,14,1.96,HT,1614817851
460,calbuco,-41.768,-73.1273,17.0,67,0,3.09,CL,1614817851
461,rey bouba,8.6724,14.1786,23.75,17,100,0.68,CM,1614817852
462,kinablangan,7.6947,126.5503,26.89,82,87,4.05,PH,1614817852
463,astoria,46.1879,-123.8313,7.22,70,90,3.6,US,1614817852
464,inhambane,-23.865,35.3833,23.32,92,41,2.72,MZ,1614817570
465,ejea de los caballeros,42.1263,-1.1372,10.56,87,75,1.54,ES,1614817853
466,maloy,61.9353,5.1136,0.0,86,75,6.17,NO,1614817853
467,port keats,-14.25,129.55,30.85,73,87,4.33,AU,1614817853
468,port blair,11.6667,92.75,25.0,83,40,1.03,IN,1614817403
469,xining,36.6167,101.7667,-1.15,35,100,0.61,CN,1614817571
470,chapleau,47.8405,-83.4034,-9.0,79,90,5.14,CA,1614817805
471,porirua,-41.1333,174.85,20.56,69,26,8.05,NZ,1614817854
472,hong gai,20.956,107.0946,18.0,94,75,0.51,VN,1614817855
473,alamogordo,32.8995,-105.9603,21.0,13,1,4.12,US,1614817855
474,utkivka,49.7858,36.0753,-2.0,86,0,3.0,UA,1614817855
475,beidao,34.5686,105.8933,4.99,72,68,1.35,CN,1614817379
476,larsnes,62.2028,5.5773,0.0,85,97,4.47,NO,1614817856
477,sydney,-33.8679,151.2073,23.89,49,20,4.63,AU,1614817736
478,morro bay,35.3658,-120.8499,13.33,81,93,1.34,US,1614817385
479,pochutla,15.7432,-96.4661,30.0,54,40,2.37,MX,1614817856
480,saint-georges,12.0564,-61.7485,26.0,73,20,5.66,GD,1614817857
481,prince rupert,54.3161,-130.3201,5.0,87,90,4.63,CA,1614817437
482,monte alegre,-2.0078,-54.0692,24.54,82,100,1.24,BR,1614817857
483,baoqing,46.3317,132.2111,0.31,95,100,4.34,CN,1614817858
484,waipawa,-41.4122,175.5153,21.11,60,100,8.75,NZ,1614817367
485,santo antonio do sudoeste,-26.0736,-53.7253,19.46,97,100,1.35,BR,1614817858
486,eureka,40.8021,-124.1637,11.11,72,30,2.55,US,1614817564
487,buin,-33.7333,-70.75,27.0,50,0,7.2,CL,1614817859
488,korcula,42.9622,17.1369,1.0,80,0,1.03,HR,1614817859
489,pyshchug,58.8873,45.7134,-4.33,98,100,3.28,RU,1614817860
490,tarakan,3.3,117.6333,26.35,82,70,3.17,ID,1614817860
491,camalu,30.85,-116.0667,14.79,67,0,4.86,MX,1614817860
492,sao gabriel da cachoeira,-0.1303,-67.0892,23.13,97,46,1.06,BR,1614817617
493,rio gallegos,-51.6226,-69.2181,12.0,76,20,8.75,AR,1614817346
494,anshun,26.25,105.9333,8.03,88,95,2.61,CN,1614817861
495,saint-augustin,51.226,-58.6502,-5.02,97,97,3.34,CA,1614817222
496,gazojak,41.1875,61.4036,5.99,64,78,3.36,TM,1614817861
497,vytegra,61.0064,36.4481,-2.64,95,100,5.39,RU,1614817861
498,sao francisco do sul,-26.2433,-48.6381,24.0,94,75,1.03,BR,1614817862
499,marathon,44.9,-89.7668,4.0,56,1,2.38,US,1614817578
500,aras,42.5617,-2.356,9.44,93,90,1.36,ES,1614817862
501,yanagawa,33.1667,130.4,7.78,81,75,2.57,JP,1614817862
502,guadalupe y calvo,26.1,-106.9667,12.3,38,63,2.16,MX,1614817862
503,tiarei,-17.5333,-149.3333,31.0,66,40,4.12,PF,1614817863
504,murray bridge,-35.1167,139.2667,17.22,66,0,3.4,AU,1614817805
505,havoysund,70.9963,24.6622,-4.0,86,75,9.26,NO,1614817863
506,sterling,39.0062,-77.4286,10.0,40,1,1.54,US,1614817805
507,beira,-19.8436,34.8389,25.0,94,90,3.09,MZ,1614817608
508,cardenas,23.0375,-81.2047,25.0,78,20,3.09,CU,1614817863
509,motygino,58.1831,94.7592,-26.32,87,100,1.73,RU,1614817864
510,naryan-mar,67.6713,53.087,-13.66,95,100,3.45,RU,1614817357
511,anage,-14.6122,-41.1356,21.49,73,43,2.08,BR,1614817864
512,ahmadnagar,19.0833,74.7333,19.02,18,0,1.52,IN,1614817864
513,general pico,-35.6566,-63.7568,24.31,57,0,3.26,AR,1614817864
514,cabra,37.4725,-4.4421,10.0,81,0,2.02,ES,1614817865
515,putina,-15.4667,-69.4333,8.27,76,69,4.71,PE,1614817610
516,zumarraga,11.6388,124.8417,27.08,77,46,3.64,PH,1614817865
517,arzgir,45.3728,44.2206,-0.68,87,6,5.37,RU,1614817865
518,kulhudhuffushi,6.6221,73.07,28.22,64,15,4.66,MV,1614817414
519,kaunas,54.9,23.9,0.0,86,90,2.57,LT,1614817866
520,campoverde,-8.4753,-74.8058,26.0,83,75,1.54,PE,1614817866
521,kattivakkam,13.2167,80.3167,22.0,94,20,2.39,IN,1614817866
522,laguna,38.421,-121.4238,18.33,36,1,3.09,US,1614817333
523,los llanos de aridane,28.6585,-17.9182,18.0,63,75,3.6,ES,1614817867
524,pyapon,16.2833,95.6833,23.45,65,0,1.08,MM,1614817867
525,bognor regis,50.7821,-0.6798,8.33,97,99,1.28,GB,1614817818
526,praia da vitoria,38.7333,-27.0667,16.0,72,40,4.79,PT,1614817382
527,japura,-0.3167,102.35,26.38,79,16,0.35,ID,1614817867
528,cervo,43.6702,-7.4101,11.11,90,100,2.23,ES,1614817868
529,lipari,38.4674,14.954,11.67,63,0,1.16,IT,1614817868
530,hamina,60.5697,27.1979,-3.0,93,0,2.57,FI,1614817868
531,atambua,-9.1061,124.8925,25.9,79,90,0.59,ID,1614817436
532,san-pedro,4.7485,-6.6363,25.66,91,34,2.95,CI,1614817869
533,hendersonville,36.3048,-86.62,16.0,27,1,1.54,US,1614817621
534,kousseri,12.0769,15.0306,25.0,12,0,4.63,CM,1614817869
535,meulaboh,4.1363,96.1285,24.09,80,58,0.93,ID,1614817459
536,hirado,33.3597,129.5531,10.56,81,75,5.14,JP,1614817600
537,viljoenskroon,-27.2084,26.9485,16.77,55,31,1.69,ZA,1614817869
538,dingzhou,38.5131,114.9956,1.0,100,0,1.52,CN,1614817870
539,ridgecrest,35.6225,-117.6709,16.0,18,90,6.69,US,1614817630
540,budogoshch,59.2816,32.4707,-2.83,86,0,4.19,RU,1614817870
541,hede,33.7681,120.2517,8.63,83,94,1.44,CN,1614817870
542,agirish,61.9247,63.0231,-12.99,95,0,2.47,RU,1614817870
543,kieta,-6.2167,155.6333,26.92,79,96,5.26,PG,1614817385
544,diapaga,12.0708,1.7889,26.07,17,0,2.85,BF,1614817871
545,morondava,-20.2833,44.2833,25.38,92,83,5.01,MG,1614817391
546,junagarh,19.8667,82.9333,18.55,34,19,0.85,IN,1614817871
547,espanola,35.9911,-106.0806,13.33,10,1,5.14,US,1614817872
548,san marcos,33.1434,-117.1661,12.22,87,90,1.54,US,1614817872
